,customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_result
23081,4271157a005679fb4c9005d64055d91f,172,2,156.51,4,1,4,414,Promising
23193,42c0680560a944fda8f8410597dc76a9,430,2,162.15,1,1,4,114,Hibernating
23199,42c45216092625f6735c0499e3e75f07,337,2,97.71000000000001,2,1,3,213,Hibernating
23279,42f7e5e06913e03368d002ce39aef221,374,2,137.4,2,1,4,214,Hibernating
23283,42fa526f0f58f2ee8ee4c7791489426b,361,2,57.5,2,1,2,212,Hibernating
23292,4304f16b63cae276cb72b52baeb978cf,386,2,50.09,2,1,1,211,Hibernating
23305,430ec51e3c42def76f0d79a8edb21784,320,2,50.01,2,1,1,211,Hibernating
23318,431837f2d214f5f1d55cf189aedc8035,472,2,344.66999999999996,1,1,5,115,Hibernating
23327,43204f0e1f4bf07cb995be5597dae27c,154,6,507.76,4,4,5,445,Loyal customers
23356,4338285648648cd4a82f4498801ea736,255,3,313.78,3,1,5,315,About to sleep
23400,4358412d9f188946dff16379af43b066,161,3,47.230000000000004,4,1,1,411,Promising
23434,437412031d5669a073d875b0aa5f4152,174,7,69.25,4,4,2,442,Loyal customers
23503,43a1a6c14b2bafafcce0a36fc24e99f7,357,2,255.96999999999997,2,1,5,215,Hibernating
23582,43e4aa8f5e956f0169a62f4b708872ac,461,2,71.82,1,1,2,112,Hibernating
23623,440881663ca6ea85485f1f0e13bebeb2,126,2,38.13,4,1,1,411,Promising
23645,441b8206c35723f88ae1c338f274149d,206,2,76.78999999999999,3,1,2,312,About to sleep
23653,441fbdd88f57c1f57c86c9d782fb09a1,182,2,154.48000000000002,4,1,4,414,Promising
23658,4427125d8551590623a0e4dbbb2e25ff,202,2,126.53,4,1,4,414,Promising
23669,44306d7723c799b747e4da79f288de07,346,2,52.68,2,1,2,212,Hibernating
23791,448c7012ea9044144e5006640fe2709e,101,2,98.39,5,1,3,513,New customers
23801,4491394c47b830b8d4c14645d4c55344,126,2,109.48,4,1,3,413,Promising
23812,4496b268cde23cfeb547ec00ae21193d,215,2,127.92,3,1,4,314,About to sleep
23814,4498cfb1d873a0d5a66735f01cbe8246,13,2,88.58000000000001,5,1,3,513,New customers
23819,449da50336d9b1e5f45284b5e4647f48,262,3,130.2,3,1,4,314,About to sleep
23855,44b4092aca988a184eb8025c3064bd3b,426,2,144.2,1,1,4,114,Hibernating
23865,44b90241722cab2d72afcccb730cf95c,170,2,96.43,4,1,3,413,Promising
23905,44dba573782d25dd9c85eeb29369ef88,210,2,100.82000000000001,3,1,3,313,About to sleep
23941,44ecc84cbb68a3b1cd5015298222b71a,154,2,66.39,4,1,2,412,Promising
23973,4504555088e2e0428e4673f325031be1,211,2,50.01,3,1,1,311,About to sleep
23995,45127f59fac3645efb3f2c3c185bf0da,521,2,211.0,1,1,5,115,Hibernating
24003,4519aaa4b436db3df81e0cdd1f3afbb0,137,2,113.31,4,1,3,413,Promising
24007,451ac26d4d2da6b319318c13aac25937,33,2,93.19000000000001,5,1,3,513,New customers
24072,45456cdd69ea63fc765c59119c064829,315,2,107.0,2,1,3,213,Hibernating
24263,45d196ca62eb0b8f5f2f3037e417425d,536,2,262.09999999999997,1,1,5,115,Hibernating
24271,45d711af86c5e3676f29317484cf200f,511,2,101.92,1,1,3,113,Hibernating
24317,45f8082a5dd6200883fb282919dcd8a8,70,2,171.2,5,1,4,514,New customers
24323,45fdb07446bcc42a741f1f8fd5884c55,14,2,68.44,5,1,2,512,New customers
24347,460a1052bb04a53c2d748b89ef49f1c5,105,6,102.16,5,4,3,543,Champions
24359,461692a55cce1954087b09cddaa34c48,256,2,55.239999999999995,3,1,2,312,About to sleep
24370,46210ff74e2784d4d386742c4a72513a,95,3,57.05,5,1,2,512,New customers
24379,4627796c14c8e6d2f8eece829c5df4c5,255,4,79.47,3,2,3,323,About to sleep
24408,46427b8ac274df227e019c6c3e6bc9ab,400,2,119.47999999999999,2,1,4,214,Hibernating
24458,46734ace53678d89eb4c725317503e26,105,2,113.68,5,1,3,513,New customers
24477,4681539a612e9e1310dfb5d11e6220dc,12,3,56.2,5,1,2,512,New customers
24480,4683cd55eddaafa12fe03e637c5bf9c6,44,2,123.53999999999999,5,1,4,514,New customers
24487,46898c46b3a1f1a811de916fb77e5659,258,2,66.46,3,1,2,312,About to sleep
24503,46958fedfb3f81f4de25433dd2d44eca,162,4,259.4,4,2,5,425,Potential loyalists
24505,469634941c27cd844170935a3cf60b95,170,2,45.730000000000004,4,1,1,411,Promising
24577,46c2fcd47be22a210f709e1cf4964ed2,469,2,248.70999999999998,1,1,5,115,Hibernating
24711,4729f940579b074574d217639714aada,117,2,49.879999999999995,4,1,1,411,Promising
24760,4748b3055f838bb2685924aae49b1aac,174,2,194.25,4,1,5,415,Promising
24808,47729014fea93d77963794163d157644,555,2,131.34,1,1,4,114,Hibernating
24827,477dbe012cf30f41f78e400b11aa5013,205,3,89.63,4,1,3,413,Promising
24837,4785460c1de43d63bbe6adfec5f2be27,67,2,115.02,5,1,4,514,New customers
24879,47a5f974c3f5bdf4eb179dfc1752041a,219,2,37.22,3,1,1,311,About to sleep
24933,47c710720f6d36fbdf35a01adc90e221,276,4,86.64,3,2,3,323,About to sleep
24949,47d5288ef362b3cebeead430d0fcf9c1,264,2,153.22,3,1,4,314,About to sleep
25012,4804dca0b9d8976575b9a10021e3bfa7,75,2,76.08,5,1,2,512,New customers
25013,4804ec21c7e5e53bca97763ec94cee05,204,2,116.13,4,1,4,414,Promising
25022,48094f58f03bec9519bd0e004ce460df,146,3,85.61,4,1,3,413,Promising
25025,4809e9100000b2a6ce45e2bbbf3c7778,406,2,33.75,2,1,1,211,Hibernating
25041,4813c31bc42009db08118aaf5c22d4f8,163,2,38.13,4,1,1,411,Promising
25086,4830a9c02b42036ffca989c6d2f8ff67,575,2,45.550000000000004,1,1,1,111,Hibernating
25104,483efcf2fb031d5a75cca49aab77de4a,447,2,40.09,1,1,1,111,Hibernating
25133,48537cbd0f029e9e9fbe57a086017ba1,241,2,61.78,3,1,2,312,About to sleep
25195,488dbc161f80c337a895a4096d7f288a,481,2,44.42,1,1,1,111,Hibernating
25279,48ccf3a1988ef7c484efc8142bd0a8ea,418,3,87.52999999999999,1,1,3,113,Hibernating
25312,48e3a9de59a791697c8face0fb3d439c,408,2,39.69,2,1,1,211,Hibernating
25340,48f6ec1b60fe0b28221627cd97555714,229,4,63.17,3,2,2,322,About to sleep
25341,48f74010d81b2386bacab0759eecb33f,345,2,254.09,2,1,5,215,Hibernating
25382,49173fd28a263996bc1d69b301aad528,356,5,212.07,2,3,5,235,At risk
25390,491e7668ebd0e174f6a28bd563818d4f,537,2,146.02,1,1,4,114,Hibernating
25422,493bfba5a986ce7c846f7c2b5a308ed4,475,2,145.32,1,1,4,114,Hibernating
25519,497cf630dd41e00e2a185a9e0cc5e02e,310,2,159.21,2,1,4,214,Hibernating
25520,497dd0ccf25ca6a7079db90a7de1f70e,100,2,46.46,5,1,1,511,New customers
25541,498ce7988d1d397953797898c734dc82,186,2,237.17000000000002,4,1,5,415,Promising
25549,4990ef4b433749cb7d74b8495ade9f1b,195,2,34.0,4,1,1,411,Promising
25619,49c01eb0774fa3c20b2b4aa1b1682b4b,571,2,140.28,1,1,4,114,Hibernating
25626,49c3a1a50b8142d5b884209cf0db476e,286,2,133.96,3,1,4,314,About to sleep
25631,49c66275a0b693c4414d9b1cc41477c2,521,2,35.86,1,1,1,111,Hibernating
25671,49e8041859a634e56ece47ac3be42529,151,2,56.96,4,1,2,412,Promising
25691,49fbfae8c688bf15a5a17483f829414c,357,2,244.4,2,1,5,215,Hibernating
25695,49ff6d6e358e4b860a1a8110a214472c,126,2,59.43,4,1,2,412,Promising
25699,4a00f00d951c167739888a1f16c56e8e,226,2,49.239999999999995,3,1,1,311,About to sleep
25720,4a0ca65ee54229ed1da47b1f479b0a55,188,2,76.18,4,1,2,412,Promising
25730,4a1435c406b7c8bf1404a88a197787b4,562,3,58.550000000000004,1,1,2,112,Hibernating
25750,4a2a55eb047e3c1aa195fb12627d11cc,463,2,44.39,1,1,1,111,Hibernating
25765,4a33612c0b32f7a2e91deaea2a05bda9,126,2,34.589999999999996,4,1,1,411,Promising
25775,4a3efc742773d796e3e990b5de3e0616,534,2,85.39999999999999,1,1,3,113,Hibernating
25796,4a4da2516f325e16bf8f117f71c49679,161,2,339.22999999999996,4,1,5,415,Promising
25824,4a5eab03ad0ee1503ed736150a484cda,280,2,55.599999999999994,3,1,2,312,About to sleep
25844,4a6fa365ca4f8199ec1bdb357c935d93,441,2,53.6,1,1,2,112,Hibernating
25892,4a96727d27c9457588c88b83ce91be1b,346,4,36.69,2,2,1,221,Hibernating
25901,4aa0005ef4b8cb5ce874a4a86b36ed05,277,2,89.25,3,1,3,313,About to sleep
25981,4adddc79dab2cd4d1dadc18dd4c1c14c,279,2,155.32,3,1,4,314,About to sleep
25997,4ae72d0daf2448a49bf98ec1b8cf68b5,212,2,184.93,3,1,5,315,About to sleep
26050,4b1509222d997779d7131527999165a5,163,2,100.75,4,1,3,413,Promising
26089,4b2dd9562f03d5668e88afe0b1452697,217,2,232.95,3,1,5,315,About to sleep
26185,4b754a1c8df365c741a274b751ff2571,438,2,60.0,1,1,2,112,Hibernating
26188,4b78148f94840e5bdc6f06d8b2362200,393,2,186.57,2,1,5,215,Hibernating
26288,4bc5733793dc86f89314d99b0a91a182,470,2,72.66,1,1,2,112,Hibernating
26321,4bd8f16f1eea99ae36382282aa03d538,292,2,154.04000000000002,3,1,4,314,About to sleep
26355,4bf88a7722cd83fc2bc891819c641690,314,3,62.18,2,1,2,212,Hibernating
26437,4c349f62d9adaeb0851c59901523668a,353,2,247.35999999999999,2,1,5,215,Hibernating
26499,4c6646f19dfcb0bc05ebccf4ddeb745c,400,2,85.16,2,1,3,213,Hibernating
26517,4c74fbc614fe8ccf3b706129837a9471,273,2,238.69,3,1,5,315,About to sleep
26577,4ca13991254732af64a40137aec89be0,147,5,93.37,4,3,3,433,Potential loyalists
26587,4ca9d029df38b5b513980f0508bed78e,259,2,38.58,3,1,1,311,About to sleep
26626,4cc13a45f4e9258fae06b75f27440b11,64,2,239.76,5,1,5,515,New customers
26638,4ccd5436cac2c43451cdc82952924d45,201,2,70.91,4,1,2,412,Promising
26657,4cd9e0172b581ae5abbe2812df386e57,225,2,182.18,3,1,5,315,About to sleep
26771,4d31ce9c178f01b182e89b3b31c1d35c,378,2,102.74,2,1,3,213,Hibernating
26798,4d4235152fdfccd1aeab816d867a9447,288,2,57.199999999999996,3,1,2,312,About to sleep
26801,4d42a6dacf1f5e10081a913a9335c458,103,2,92.06,5,1,3,513,New customers
26804,4d4542d32f3637ffee13ca9ccb63d9de,166,2,164.42000000000002,4,1,4,414,Promising
26810,4d4958bba1328dc064c4a3f664f5287a,119,2,84.8,4,1,3,413,Promising
26840,4d5a7808f06b45c09cb4ad809763ea27,83,2,140.69,5,1,4,514,New customers
26841,4d5ad499182eec2023662b93e804e9a4,256,2,45.010000000000005,3,1,1,311,About to sleep
26866,4d69d33edb867a842ef0541c0b054a3c,180,2,45.54,4,1,1,411,Promising
26876,4d6e3cd7620b52c39a13975adaed9873,294,2,71.82,2,1,2,212,Hibernating
26893,4d75781679d538efcb4b945109f9ca68,215,2,29.52,3,1,1,311,About to sleep
26900,4d7b890318c893931b87e2572022a7fc,316,2,238.81,2,1,5,215,Hibernating
26905,4d7fe7e565f6fc70c3253d64171b7672,126,2,120.03,4,1,4,414,Promising
26918,4d8c11a7b6e568d87aa1824c2180ca7f,259,2,177.87,3,1,5,315,About to sleep
26919,4d8c75952e09254a602a3a059d0ac367,156,4,57.78,4,2,2,422,Potential loyalists
26932,4d93cf82ad543d0d134458186931e611,518,2,60.86,1,1,2,112,Hibernating
26945,4da02003088ff69e3a0ae3db17d648f6,54,2,196.05,5,1,5,515,New customers
26975,4db18e7bba09ac5b656a0a5d87f6e490,106,2,149.78,5,1,4,514,New customers
27008,4dc6615418c35ea2ba535531549b13ed,144,2,51.78,4,1,1,411,Promising
27012,4dc795d126b1117906a9c93c41e6e0ed,554,2,88.63,1,1,3,113,Hibernating
27014,4dce0f6722869e478f0ae39024fc5948,27,2,63.36,5,1,2,512,New customers
27026,4dd66b17e6ebfe130ef40705bb44a1c2,483,2,72.9,1,1,2,112,Hibernating
27063,4df0de6547b0163039e798e47f8575e3,298,3,237.47,2,1,5,215,Hibernating
27142,4e2af509f129461427e30d1283e8e81b,275,2,31.77,3,1,1,311,About to sleep
27227,4e6826e816d3a05869a1157eed92c4a2,160,2,167.45999999999998,4,1,4,414,Promising
27255,4e7d863b21180fc23a9185972ef8a1a2,82,2,289.3,5,1,5,515,New customers
27256,4e7f50e38bd6c41ce61f46ab4435f0fd,482,2,55.95,1,1,2,112,Hibernating
27263,4e839bbfb46074711253af232b429278,548,2,160.95999999999998,1,1,4,114,Hibernating
27329,4eb48c3efa335517661eb701a5a33e27,173,2,226.27,4,1,5,415,Promising
27389,4eebea291949576a28945c39356dd65e,235,2,172.32999999999998,3,1,4,314,About to sleep
27427,4f0aabc56eb3f3cfa1eb12bd4de97110,565,2,110.57,1,1,3,113,Hibernating
27486,4f380751268a4e7ba3e8a00394d2e1ea,134,7,130.7,4,4,4,444,Loyal customers
27493,4f3d7e6bbe7f1c9de320437cf6bf04d8,544,2,136.44,1,1,4,114,Hibernating
27504,4f431dee2efccd72a2b5707929dc85bf,271,2,102.87,3,1,3,313,About to sleep
27545,4f627c252cbdf3a0501a99755ddcf1e3,148,2,82.9,4,1,3,413,Promising
27548,4f65f6d688e904125fba1e3e87c75214,332,2,52.85,2,1,2,212,Hibernating
27557,4f6f5e2d1fabd46160eaf3c2e71c9cc6,322,2,84.15,2,1,3,213,Hibernating
27660,4fb9ae3df2dc63d1b5a329b0d96d26f6,196,3,47.53,4,1,1,411,Promising
27692,4fd530fb0a2670c2016db3210471fc7d,37,2,111.73,5,1,3,513,New customers
27751,4ffcfe8466141df05466bea2db1389c1,470,2,77.89,1,1,3,113,Hibernating
27796,5015b446c93382510a9e662ef293c54e,156,2,37.78,4,1,1,411,Promising
27802,501c9cd7188003067cfbe04791e39d5b,70,3,198.49,5,1,5,515,New customers
27808,50202490acea34225b1af5cdd25f4326,229,4,88.8,3,2,3,323,About to sleep
27820,502a6aefe839fa4aac24621f172f819f,442,2,176.78,1,1,5,115,Hibernating
27837,50373f94972551a5992be3b0c536aef4,126,2,385.02,4,1,5,415,Promising
27872,504fd80a4a9646dcc77ddf93b1c66c51,253,2,166.8,3,1,4,314,About to sleep
27914,50756c38c6f7edeeacaaa63c6682ddb0,20,2,61.49,5,1,2,512,New customers
27927,507f4a747b0dabc6ab5d6806bb70759b,352,2,60.01,2,1,2,212,Hibernating
27953,50920f8cd0681fd86ebe93670c8fe52e,212,3,421.69,3,1,5,315,About to sleep
27961,50985c704285b81f536fae7cd6d3d4aa,372,2,46.599999999999994,2,1,1,211,Hibernating
27971,50a19a2bbbc9fe086f09ccd05b51ffa7,395,2,65.69999999999999,2,1,2,212,Hibernating
27973,50a2bbfdc15bf77a19b7e096c8eadbcb,285,3,97.71000000000001,3,1,3,313,About to sleep
28052,50eeafa74cb06a1386d9c4bbe6baf9a4,373,2,105.37,2,1,3,213,Hibernating
28201,5152585f73b24d675bd2e8316b4fa99d,532,13,107.27000000000001,1,5,3,153,Can't lose them
28241,5171d2fac93544a0e4b6ea1afb8bac3c,400,2,58.16,2,1,2,212,Hibernating
28283,51905fbecec4261539044170d7338c03,196,2,126.53999999999999,4,1,4,414,Promising
28331,51b4fb94719b87aea1f164b9640212da,207,2,113.45,3,1,3,313,About to sleep
28339,51b88799254da2772e7464551a676f1d,348,2,35.1,2,1,1,211,Hibernating
28348,51c01649e2b270e89b1c14207e08ec84,11,2,19.29,5,1,1,511,New customers
28356,51ca168d7521026309599e5567efe070,327,2,58.12,2,1,2,212,Hibernating
28385,51e7d7a95b9555dea1779d62b8e81387,324,3,72.14,2,1,2,212,Hibernating
28412,51f407d9c0d2379f49ad0d507c855193,278,2,76.78,3,1,2,312,About to sleep
28461,52189b813273fcf0a80a10465a09c7d7,249,2,267.28,3,1,5,315,About to sleep
28470,521ecef28ca5c3c9f3f816c2712fb016,352,10,137.99,2,5,4,254,Can't lose them
28482,5226d2384cbf25b91d36e3318170e479,152,2,36.93,4,1,1,411,Promising
28503,523480f61a2b701291d0ead14ad3f7a2,216,2,125.18,3,1,4,314,About to sleep
28526,5248c29eeab9341e2a39a0ef656147c6,209,2,121.88000000000001,3,1,4,314,About to sleep
28591,5277d855d8cb2479fe5bb9d101ae8ec0,246,2,53.58,3,1,2,312,About to sleep
28639,52994c30c7cb9d776463cacaef4c028b,276,2,187.25,3,1,5,315,About to sleep
28663,52ab4b83a98a7f5f31686806aac50ba5,402,6,71.82,2,4,2,242,At risk
28672,52b3da34f204c7de2c9ee201e1491664,276,3,38.99,3,1,1,311,About to sleep
28677,52bb5fa693affe0c16d28988440ce8e1,177,2,85.78999999999999,4,1,3,413,Promising
28802,531badd968ec63f7495c961436128119,126,2,47.129999999999995,4,1,1,411,Promising
28856,533a802ab85028e2ac3771bab3920e8c,144,2,241.89000000000001,4,1,5,415,Promising
28860,533f0f527edd31355c911bec8caef8e2,285,2,44.68,3,1,1,311,About to sleep
28861,533fb5085c7f25a1b96339a5ab46a324,139,2,56.22,4,1,2,412,Promising
28884,535a05f4c66c1ebb2b8c6a537a7f2149,208,2,77.57000000000001,3,1,3,313,About to sleep
29035,53d7bdb03c1054588851c0440946f5fa,37,2,81.95,5,1,3,513,New customers
29047,53e16f83735cfe02bf83ef6481ca241e,267,2,62.11,3,1,2,312,About to sleep
29050,53e36864f1b9213f02300d3ca6c72523,208,2,228.62,3,1,5,315,About to sleep
29068,53f46f4de675eddf5155ed374fd47b14,473,2,106.95,1,1,3,113,Hibernating
29188,543ffec7e11ec1866c810953bff61141,66,2,320.03999999999996,5,1,5,515,New customers
29213,544dd9e02b01648bfd3152513f08fbb5,439,2,97.00999999999999,1,1,3,113,Hibernating
29262,5476109112a6909ea3fcce7c37cb2e37,285,2,71.63,3,1,2,312,About to sleep
29270,547cffdadc2bf8d206dde24a492c82f4,470,2,83.22999999999999,1,1,3,113,Hibernating
29274,547f0ab4161085115b9afb71a0be6eb7,147,2,35.84,4,1,1,411,Promising
29276,5480317bcd36fbf6258cf6cace8142cc,188,3,40.05,4,1,1,411,Promising
29330,54abf020696cac4caf9175f3b5530ed0,361,2,291.19,2,1,5,215,Hibernating
29334,54af40597a8931fea3fbb2b37656fc8d,278,2,206.99,3,1,5,315,About to sleep
29375,54c9be3772a24c5641ba32234f87d453,133,2,51.79,4,1,1,411,Promising
29377,54ca6dc5e99a82fe5112744bc4e9ef26,82,5,169.67000000000002,5,3,4,534,Potential loyalists
29386,54d5d7da0837d85d624ff379fffd671d,3,2,82.68,5,1,3,513,New customers
29455,5509b11339d759e867ea2dfb58075def,426,3,120.03999999999999,1,1,4,114,Hibernating
29475,5515585fb72bf6f55dc98b21281cd3c3,167,2,57.13,4,1,2,412,Promising
29575,55557042d9b37fc15214afce245c79c4,296,2,52.68,2,1,2,212,Hibernating
29646,5587073a673239e340006c2ee9e215d2,432,2,436.69,1,1,5,115,Hibernating
29649,5589151bd114970188a1141fbd5c8d25,687,2,33.519999999999996,1,1,1,111,Hibernating
29650,5589c868b8dd0d470ed657410b55a8f9,225,2,54.05,3,1,2,312,About to sleep
29666,559885225f11e9c1af7436a3fa2b58f2,62,2,59.98,5,1,2,512,New customers
29671,559c7dc3c6e74dde85904855ba4160dd,187,2,59.0,4,1,2,412,Promising
29681,55a52a925384404b4e57b82938bf6062,120,9,121.68,4,5,4,454,Loyal customers
29701,55b963cc1b4611c655ed0dab98bc4959,534,3,62.68,1,1,2,112,Hibernating
29779,55f7adf99fd2a2c01af34e2dfa272c9f,535,11,95.67,1,5,3,153,Can't lose them
29785,55fc561cdd959beb7c1b679f4f42c732,357,2,149.65,2,1,4,214,Hibernating
29797,5606c8ed3e243a47aa96c3206cd14b18,333,2,412.52,2,1,5,215,Hibernating
29826,561b111cb008e89e7d7b821cefa626bf,235,2,190.48000000000002,3,1,5,315,About to sleep
29839,56280bfbcefb145b91a360ba0ebe9bd9,176,2,39.410000000000004,4,1,1,411,Promising
30079,56db056a50c2c0e00ecb1a9f15d92ce0,406,2,40.75,2,1,1,211,Hibernating
30101,56e63406ad840b9429b59c47b9122f42,174,2,58.3,4,1,2,412,Promising
30104,56e7899b07b9a515442d8855a6e049b3,386,2,137.44,2,1,4,214,Hibernating
30136,570045158cad692d4451429defac5f56,117,2,170.73,4,1,4,414,Promising
30144,57063b7216d8c3380b2aff7a02ec17b8,258,2,354.87,3,1,5,315,About to sleep
30209,572c7a22d51433eedbcd766cbc7dbc4f,318,2,116.47,2,1,4,214,Hibernating
30231,573e026da782d51277f320fc94a8d4e8,198,2,225.21,4,1,5,415,Promising
30239,5742df8f8d0c8db463550979a097b71b,66,2,96.32,5,1,3,513,New customers
30243,5745218a667013d784c68fdc707cdd16,316,2,215.11,2,1,5,215,Hibernating
30252,57480b49909e35924da64989ac4f42bf,388,2,40.86,2,1,1,211,Hibernating
30254,57488cc627f8aef89c99cd5d8c3134f1,470,4,115.46,1,2,4,124,Hibernating
30262,574e7fc4efc2ba7caa7c4a006633f6bd,33,3,58.28,5,1,2,512,New customers
30305,5775d90cbeeb78fe39287105d3373b51,277,2,103.33,3,1,3,313,About to sleep
30361,579ed05e977f9e95c98a761d7ecb086d,49,3,99.8,5,1,3,513,New customers
30389,57ae7d96c29b4b061d4a58303fc574e9,287,2,72.66,3,1,2,312,About to sleep
30437,57d2e8cac21d839292ba374f50f07e58,214,2,71.53,3,1,2,312,About to sleep
30499,57ff3f79dcde1202fed030360942eeef,306,2,407.9,2,1,5,215,Hibernating
30513,580b87d0f8f2e58182b45b9bfaebb3e8,299,2,265.38,2,1,5,215,Hibernating
30524,58161853ae5fbe35e6504325633bd1f0,200,2,66.1,4,1,2,412,Promising
30563,58304aef21701bf4312b0e0c34a03906,224,2,140.32999999999998,3,1,4,314,About to sleep
30586,58408b38aaa39dae7ed36422ae1662bf,139,2,83.25,4,1,3,413,Promising
30684,588fe1b8e94c0e3d692b360864bdbf75,276,2,101.74000000000001,3,1,3,313,About to sleep
30685,5890deddf0b6b96d8efbe6e96f0cdc88,310,2,98.7,2,1,3,213,Hibernating
30688,589298dae9fd52c451466272d22efb8f,342,2,110.97,2,1,3,213,Hibernating
30690,5893ebdeda7eec3e99a4103bc4b2fa7f,12,2,182.45999999999998,5,1,5,515,New customers
30704,58a02b0700dd28cd6317626512912c3f,405,2,148.15,2,1,4,214,Hibernating
30706,58a15aaedb05561fc5187f0d1e1052d5,293,2,336.48,3,1,5,315,About to sleep
30709,58a3ff566526539c7148b382f2236368,272,6,158.8,3,4,4,344,Loyal customers
30735,58bc1c991340ff5dad626db50a02b869,29,2,104.83999999999999,5,1,3,513,New customers
30738,58c0558cb537c7099b095b9f637b0709,105,2,114.69,5,1,3,513,New customers
30778,58d35ef620f2e9b5e65f4db499b36053,294,2,58.58,2,1,2,212,Hibernating
30789,58d9fce5ebd487e6742960be2147af5b,209,2,237.48,3,1,5,315,About to sleep
30793,58dbe9ebb990e72ca35a2f223ea1a60c,441,2,32.68,1,1,1,111,Hibernating
30803,58e6ef977832bfd6f5c99001fc47432b,490,3,59.33,1,1,2,112,Hibernating
30807,58ea963c191e6d553f030709aabcda9c,394,2,46.01,2,1,1,211,Hibernating
30817,58f28288856f391fd920e892adde9393,138,2,184.86,4,1,5,415,Promising
30912,59441e21de26688f409e5f0bc9aac3b5,138,2,57.29,4,1,2,412,Promising
30970,5967895f1299e02b1b0cb7a8ef4a437b,576,11,227.89999999999998,1,5,5,155,Can't lose them
30996,59802adb7b72bb9d51f8644033e968b1,22,2,44.0,5,1,1,511,New customers
31031,599d7a9e7ba62dc5f74251b638a7e30f,165,4,72.25,4,2,2,422,Potential loyalists
31091,59cac1762d59c78c991fbd9e3cd06bdf,461,2,25.77,1,1,1,111,Hibernating
31106,59d196118ca8d55c3c6e469f532f9bf1,98,2,52.93000000000001,5,1,2,512,New customers
31129,59e37465dbff42391e05940a53dcbd3f,446,2,92.76,1,1,3,113,Hibernating
31201,5a108f7c19bf77ac04a7d2a1ebb73a6c,71,4,118.1,5,2,4,524,Potential loyalists
31229,5a22c3eebf3e71c7ac682d3bc9152395,347,2,57.72,2,1,2,212,Hibernating
31255,5a3260cfde2a918b597dada7ddd247bb,305,2,28.41,2,1,1,211,Hibernating
31260,5a37d7eace891a446596466cc8526c90,163,2,130.69,4,1,4,414,Promising
31271,5a43a37dd0e6fc32b37baaf86f2a438d,3,2,118.35,5,1,4,514,New customers
31305,5a58afc695ee03b9baca01d4afa52cec,392,2,55.620000000000005,2,1,2,212,Hibernating
31383,5a88431d6ebc9a79f999c06091ae0370,18,3,193.84,5,1,5,515,New customers
31414,5a9d3c4872061027501d59e521a4a65d,237,2,31.139999999999997,3,1,1,311,About to sleep
31529,5af6ac8bc746760092c8e0ddeed00f56,293,2,353.1,3,1,5,315,About to sleep
31552,5b0ae9e7f015176aab8cf98d22cac483,233,2,84.64,3,1,3,313,About to sleep
31629,5b3d688af33ea2a6e1ccf9a205709a01,321,2,94.9,2,1,3,213,Hibernating
31666,5b58f75e65bdec4f6767eb82f2c84e66,390,3,47.62,2,1,1,211,Hibernating
31673,5b5f9dc350d00efc166dd828b9950edd,198,2,472.53999999999996,4,1,5,415,Promising
31771,5bb40f4d5a4371842ecc05e3b4475dc1,204,2,567.5899999999999,4,1,5,415,Promising
31782,5bbd3f38fe696e4bc73a9f914a6716e6,278,2,54.61,3,1,2,312,About to sleep
31806,5bcda612f570bbb270b49d701f062be2,524,3,43.56,1,1,1,111,Hibernating
31852,5bf28a338133045e3bef23bde5a55b4c,18,2,65.34,5,1,2,512,New customers
31887,5c0a13726f1fdc75fb023894e1b64590,134,3,102.85000000000001,4,1,3,413,Promising
31939,5c32a672906f78018ad33038a2c68e2d,110,2,125.53,4,1,4,414,Promising
31945,5c39546ec48df2747323d3356a6c4720,40,2,68.43,5,1,2,512,New customers
32009,5c64fe29430b2b017083fe22fc224ba3,512,3,43.95,1,1,1,111,Hibernating
32046,5c82b918db1d7b8f0f653d714533cc0e,326,2,92.30000000000001,2,1,3,213,Hibernating
32051,5c896117244c11cdcc73221662757e05,89,2,121.9,5,1,4,514,New customers
32057,5c8d317f3565842d664a1a822d033123,238,4,30.0,3,2,1,321,About to sleep
32095,5caa22731be0c213512d14d62bbd1275,231,2,39.1,3,1,1,311,About to sleep
32150,5ccf2b9502949fa14bff3391cd607be4,71,2,43.879999999999995,5,1,1,511,New customers
32157,5cd6014b029bae9f12a017b42d61ceae,42,2,136.0,5,1,4,514,New customers
32185,5ce6bccf8e7fd0fd5ee7fcb87cf857ba,133,2,185.68,4,1,5,415,Promising
32191,5cec8085bb0230910a0a091f25e27df5,109,2,252.59,5,1,5,515,New customers
32234,5d0c6c3c37720178553332f2509b2568,466,2,29.0,1,1,1,111,Hibernating
32235,5d0c9457c263e1d0fa562f42e6d92f79,214,2,42.0,3,1,1,311,About to sleep
32243,5d124218ed8294959f04ece9dfeaeef3,144,2,115.48,4,1,4,414,Promising
32269,5d1fd4b4f9da66500dcb4587a5d285bb,169,2,65.82,4,1,2,412,Promising
32288,5d2d4e5c02f22c6a3927a09532d9f163,290,2,36.78,3,1,1,311,About to sleep
32352,5d582f1e23008801810225562c7cc50c,126,2,183.95,4,1,5,415,Promising
32382,5d6ddc4e70e7d06e3b32e2ebd658de6c,422,11,147.15,1,5,4,154,Can't lose them
32410,5d86fbca7c39699079b3d456e7040af5,494,2,241.46,1,1,5,115,Hibernating
